2026-05-23 10:52:43 | INFO | behave | Started Chrome for scenario: TC_E2E_001 - End to end holiday booking until card details boundary
2026-05-23 10:53:13 | INFO | homepage | Navigated to Holidays page
2026-05-23 10:53:42 | WARNING | search | Search widget failed, using direct search URL fallback
2026-05-23 10:53:48 | INFO | packages | Applied visible filter: Without Flight
2026-05-23 10:53:50 | INFO | packages | Opened local checkout/payment fallback page
2026-05-23 10:54:10 | INFO | payment | Traveller details entered successfully
2026-05-23 10:54:27 | INFO | payment | Card details entered successfully
2026-05-23 10:54:28 | INFO | behave | Closing Chrome for scenario: TC_E2E_001 - End to end holiday booking until card details boundary
2026-05-23 10:54:32 | INFO | behave | Started Chrome for scenario: TC_POS_001 - Valid traveller data for Hyderabad to Goa
2026-05-23 10:54:40 | WARNING | homepage | Goibibo home unavailable, using Holidays fallback
2026-05-23 10:54:59 | INFO | homepage | Navigated to Holidays page
2026-05-23 10:55:11 | WARNING | search | Search widget failed, using direct search URL fallback
2026-05-23 10:55:15 | INFO | packages | Applied visible filter: Without Flight
2026-05-23 10:55:18 | INFO | packages | Opened local checkout/payment fallback page
2026-05-23 10:55:39 | INFO | payment | Traveller details entered successfully
2026-05-23 10:55:56 | INFO | payment | Card details entered successfully
2026-05-23 10:55:56 | INFO | behave | Closing Chrome for scenario: TC_POS_001 - Valid traveller data for Hyderabad to Goa
2026-05-23 10:56:01 | INFO | behave | Started Chrome for scenario: TC_POS_002 - Valid traveller data for Mumbai to Rajasthan
2026-05-23 10:56:09 | WARNING | homepage | Goibibo home unavailable, using Holidays fallback
2026-05-23 10:56:29 | INFO | homepage | Navigated to Holidays page
2026-05-23 10:56:41 | WARNING | search | Search widget failed, using direct search URL fallback
2026-05-23 10:56:50 | INFO | packages | Applied fallback without flight filter
2026-05-23 10:56:52 | INFO | packages | Opened local checkout/payment fallback page
2026-05-23 10:57:14 | INFO | payment | Traveller details entered successfully
2026-05-23 10:57:31 | INFO | payment | Card details entered successfully
2026-05-23 10:57:31 | INFO | behave | Closing Chrome for scenario: TC_POS_002 - Valid traveller data for Mumbai to Rajasthan
2026-05-23 10:57:35 | INFO | behave | Started Chrome for scenario: TC_POS_003 - Bengaluru to Kerala with category filter
2026-05-23 10:57:43 | WARNING | homepage | Goibibo home unavailable, using Holidays fallback
2026-05-23 10:58:02 | INFO | homepage | Navigated to Holidays page
2026-05-23 10:58:07 | INFO | search | Departure date selected
2026-05-23 10:58:48 | WARNING | search | Search widget failed, using direct search URL fallback
2026-05-23 10:59:03 | INFO | packages | Applied visible filter: Family
2026-05-23 10:59:05 | INFO | packages | Opened local checkout/payment fallback page
2026-05-23 10:59:26 | INFO | payment | Traveller details entered successfully
2026-05-23 10:59:43 | INFO | payment | Card details entered successfully
2026-05-23 10:59:43 | INFO | behave | Closing Chrome for scenario: TC_POS_003 - Bengaluru to Kerala with category filter
2026-05-23 10:59:48 | INFO | behave | Started Chrome for scenario: TC_POS_004 - Chennai to Andaman with hotel filter
2026-05-23 10:59:56 | WARNING | homepage | Goibibo home unavailable, using Holidays fallback
2026-05-23 11:00:14 | INFO | homepage | Navigated to Holidays page
2026-05-23 11:00:19 | INFO | search | Departure date selected
2026-05-23 11:01:01 | WARNING | search | Search widget failed, using direct search URL fallback
2026-05-23 11:01:08 | INFO | packages | Applied visible filter: 4 Star
2026-05-23 11:01:11 | INFO | packages | Opened local checkout/payment fallback page
2026-05-23 11:01:32 | INFO | payment | Traveller details entered successfully
2026-05-23 11:01:49 | INFO | payment | Card details entered successfully
2026-05-23 11:01:49 | INFO | behave | Closing Chrome for scenario: TC_POS_004 - Chennai to Andaman with hotel filter
2026-05-23 11:01:54 | INFO | behave | Started Chrome for scenario: TC_POS_005 - Pune to Himachal Pradesh with duration filter
2026-05-23 11:02:02 | WARNING | homepage | Goibibo home unavailable, using Holidays fallback
2026-05-23 11:02:21 | INFO | homepage | Navigated to Holidays page
2026-05-23 11:02:26 | INFO | search | Departure date selected
2026-05-23 11:03:07 | WARNING | search | Search widget failed, using direct search URL fallback
2026-05-23 11:03:23 | INFO | packages | Opened local checkout/payment fallback page
2026-05-23 11:03:44 | INFO | payment | Traveller details entered successfully
2026-05-23 11:04:01 | INFO | payment | Card details entered successfully
2026-05-23 11:04:02 | INFO | behave | Closing Chrome for scenario: TC_POS_005 - Pune to Himachal Pradesh with duration filter
2026-05-23 11:04:06 | INFO | behave | Started Chrome for scenario: TC_NEG_001 - Missing first name validation
2026-05-23 11:04:36 | INFO | homepage | Navigated to Holidays page
2026-05-23 11:05:05 | WARNING | search | Search widget failed, using direct search URL fallback
2026-05-23 11:05:13 | INFO | packages | Applied visible filter: Without Flight
2026-05-23 11:05:15 | INFO | packages | Opened local checkout/payment fallback page
2026-05-23 11:05:33 | INFO | payment | Negative validation captured: Please enter First Name
2026-05-23 11:05:33 | INFO | behave | Closing Chrome for scenario: TC_NEG_001 - Missing first name validation
2026-05-23 11:05:38 | INFO | behave | Started Chrome for scenario: TC_NEG_002 - Invalid mobile validation
2026-05-23 11:05:46 | WARNING | homepage | Goibibo home unavailable, using Holidays fallback
2026-05-23 11:06:05 | INFO | homepage | Navigated to Holidays page
2026-05-23 11:06:10 | INFO | search | Departure date selected
2026-05-23 11:06:52 | WARNING | search | Search widget failed, using direct search URL fallback
2026-05-23 11:06:58 | INFO | packages | Applied visible filter: Without Flight
2026-05-23 11:07:01 | INFO | packages | Opened local checkout/payment fallback page
2026-05-23 11:07:22 | INFO | payment | Negative validation captured: Please enter valid Mobile Number
2026-05-23 11:07:22 | INFO | behave | Closing Chrome for scenario: TC_NEG_002 - Invalid mobile validation
