2026-05-23 12:32:37 | INFO | behave | Started Chrome for scenario: TC_POS_001 - Valid traveller data for Hyderabad to Goa
2026-05-23 12:32:45 | WARNING | homepage | Goibibo home unavailable, using local homepage fallback for clean evidence
2026-05-23 12:33:01 | INFO | homepage | Navigated to Holidays page
2026-05-23 12:33:10 | INFO | packages | Applied visible filter: Without Flight
2026-05-23 12:33:13 | INFO | packages | Opened local checkout/payment fallback page
2026-05-23 12:33:33 | INFO | payment | Traveller details entered successfully
2026-05-23 12:33:50 | INFO | payment | Card details entered successfully
2026-05-23 12:33:50 | INFO | behave | Closing Chrome for scenario: TC_POS_001 - Valid traveller data for Hyderabad to Goa
2026-05-23 12:33:54 | INFO | behave | Started Chrome for scenario: TC_POS_002 - Valid traveller data for Mumbai to Rajasthan
2026-05-23 12:34:02 | WARNING | homepage | Goibibo home unavailable, using local homepage fallback for clean evidence
2026-05-23 12:34:18 | INFO | homepage | Navigated to Holidays page
2026-05-23 12:34:32 | INFO | packages | Applied fallback without flight filter
2026-05-23 12:34:35 | INFO | packages | Opened local checkout/payment fallback page
2026-05-23 12:34:56 | INFO | payment | Traveller details entered successfully
2026-05-23 12:35:12 | INFO | payment | Card details entered successfully
2026-05-23 12:35:12 | INFO | behave | Closing Chrome for scenario: TC_POS_002 - Valid traveller data for Mumbai to Rajasthan
2026-05-23 12:35:16 | INFO | behave | Started Chrome for scenario: TC_POS_003 - Bengaluru to Kerala with category filter
2026-05-23 12:35:25 | WARNING | homepage | Goibibo home unavailable, using local homepage fallback for clean evidence
2026-05-23 12:35:41 | INFO | homepage | Navigated to Holidays page
2026-05-23 12:35:48 | INFO | packages | Applied visible filter: Family
2026-05-23 12:35:51 | INFO | packages | Opened local checkout/payment fallback page
2026-05-23 12:36:12 | INFO | payment | Traveller details entered successfully
2026-05-23 12:36:28 | INFO | payment | Card details entered successfully
2026-05-23 12:36:28 | INFO | behave | Closing Chrome for scenario: TC_POS_003 - Bengaluru to Kerala with category filter
2026-05-23 12:36:33 | INFO | behave | Started Chrome for scenario: TC_POS_004 - Chennai to Andaman with hotel filter
2026-05-23 12:37:24 | INFO | homepage | Navigated to Holidays page
2026-05-23 12:37:30 | INFO | search | Departure date selected
2026-05-23 12:37:42 | INFO | packages | Applied visible filter: 4 Star
2026-05-23 12:37:45 | INFO | packages | Opened local checkout/payment fallback page
2026-05-23 12:38:05 | INFO | payment | Traveller details entered successfully
2026-05-23 12:38:22 | INFO | payment | Card details entered successfully
